Місто,Дата,Час,Вік,К-ть
Угринів,2021-02-18,2021-02-18 08:00:00,30-39,1429
Крихівці,2021-02-18,2021-02-18 10:00:00,30-39,1427
Угринів,2021-02-16,2021-02-16 08:00:00,30-39,1418
Крихівці,2021-02-10,2021-02-10 14:00:00,30-39,1411
Крихівці,2021-02-16,2021-02-16 17:00:00,30-39,1408
Крихівці,2021-02-08,2021-02-08 09:00:00,30-39,1402
Крихівці,2021-02-15,2021-02-15 12:00:00,30-39,1399
Угринів,2021-02-12,2021-02-12 08:00:00,30-39,1379
Загвіздя,2021-02-05,2021-02-05 12:00:00,30-39,1376
Крихівці,2021-02-16,2021-02-16 09:00:00,30-39,1366
Угринів,2021-02-06,2021-02-06 14:00:00,30-39,1366
Крихівці,2021-02-17,2021-02-17 10:00:00,30-39,1364
Крихівці,2021-02-15,2021-02-15 13:00:00,30-39,1362
Угринів,2021-02-19,2021-02-19 08:00:00,30-39,1358
Угринів,2021-02-10,2021-02-10 18:00:00,30-39,1358
Угринів,2021-02-20,2021-02-20 13:00:00,30-39,1357
Угринів,2021-02-20,2021-02-20 12:00:00,30-39,1354
Угринів,2021-02-20,2021-02-20 11:00:00,30-39,1352
Загвіздя,2021-02-02,2021-02-02 12:00:00,30-39,1349
Угринів,2021-02-02,2021-02-02 13:00:00,20-29,1348
Крихівці,2021-02-15,2021-02-15 14:00:00,30-39,1338
Угринів,2021-02-06,2021-02-06 15:00:00,30-39,1337
Крихівці,2021-02-15,2021-02-15 11:00:00,30-39,1333
Крихівці,2021-02-18,2021-02-18 17:00:00,30-39,1331
Угринів,2021-02-20,2021-02-20 15:00:00,30-39,1322
Угринів,2021-02-03,2021-02-03 13:00:00,20-29,1318
Крихівці,2021-02-15,2021-02-15 15:00:00,30-39,1315
Крихівці,2021-02-12,2021-02-12 10:00:00,30-39,1312
Загвіздя,2021-02-02,2021-02-02 16:00:00,30-39,1308
Загвіздя,2021-02-05,2021-02-05 13:00:00,30-39,1308
Угринів,2021-02-20,2021-02-20 14:00:00,30-39,1302
